Trial,Clockwise,InputSpeed(deg/s),Inputtheta(deg),x0,y0,theta0,x1,y1,theta1,x*,y*,r*,delta_theta,omega_hat,v_hat,gamma
31,False,60,90,8.839646092944785e-06,5.436107138955773e-06,0.0003293614309958964,0.006827501359565744,-0.007401011900173048,1.575168402488698,1.109244920602468e-05,-0.006834475368854566,0.006839911846986754,-1.6540487343088501,-0.66161949372354,-0.0045254190133170195,1.291555110146621
32,False,60,90,8.840405461437522e-06,5.532097350359505e-06,0.0003333183190502019,0.006762216553467556,-0.007393859145131191,1.5748412700857062,1.1100141877567419e-05,-0.006773982268624447,0.006779514742580582,-1.6626913387532234,-0.6650765355012893,-0.004508896177375409,1.2948797162079517
33,False,60,90,8.933408394964726e-06,5.637351738440266e-06,0.0003338453211007372,0.006803646804779646,-0.007393818006977529,1.5753538603965345,1.120934407664682e-05,-0.0068116982623259974,0.006817335993969681,-1.6566224321482426,-0.662648972859297,-0.004517500694040724,1.2926569788894704
34,False,60,90,8.961644931596283e-06,5.521821002503043e-06,0.0003302418927016028,0.006827642192540273,-0.007400890982124963,1.5751691957815626,1.1220473328634687e-05,-0.006834398748870515,0.006839920942852904,-1.6540430055155713,-0.6616172022062285,-0.004525409357522127,1.291552783761773
35,False,60,90,8.867886831804207e-06,5.5445278838859e-06,0.0003325690451455892,0.006763827355178484,-0.007394365732886027,1.5748547048541202,1.1123039843609784e-05,-0.006775462188110626,0.0067810070909915575,-1.662526241812529,-0.6650104967250117,-0.004509440893876122,1.2948193510486015
36,False,60,90,8.900247263966307e-06,5.652230447408291e-06,0.0003360619031142711,0.006763967034718029,-0.0073942807115903435,1.5748583472327322,1.1179111646858475e-05,-0.006775432670828206,0.006781085284195369,-1.6625204583914015,-0.6650081833565606,-0.0045094772060286685,1.2948170974884077
37,False,60,90,8.943797346735765e-06,5.583156691944307e-06,0.00033303866136068683,0.006838427121536422,-0.007400683917050257,1.5749016802836031,1.1225058657429732e-05,-0.006844255889117466,0.00684983942568352,-1.6524512426903908,-0.6609804970761564,-0.004527610268480147,1.2908079537250532
38,False,60,90,8.910742113387473e-06,5.576424654584978e-06,0.00033310561295766666,0.006794116484867445,-0.007397818335284759,1.574737523708499,1.1178837216553605e-05,-0.006803360234018722,0.006808937036430916,-1.6585462914681675,-0.663418516587267,-0.0045171749082451,1.2931802838254836
39,False,60,90,8.911623675536825e-06,5.552325303545753e-06,0.0003321359765986221,0.0068272792199407266,-0.007400798869304291,1.5751715422605472,1.1183306300958668e-05,-0.006834063681227739,0.006839616383785051,-1.654084244469805,-0.661633697787922,-0.004525320679454559,1.2915694603015013
40,False,60,90,8.932775127150726e-06,5.527053927472888e-06,0.0003317398756757585,0.006826174641488095,-0.007397076869152101,1.5750173339352134,1.1201310845526148e-05,-0.006832769459374983,0.006838296889584338,-1.653743645008475,-0.66149745800339,-0.004523516009532528,1.291371695627205
