Trial,Clockwise,InputSpeed(deg/s),Inputtheta(deg),x0,y0,theta0,x1,y1,theta1,x*,y*,r*,delta_theta,omega_hat,v_hat,gamma
25,False,30,90,9.030431942262252e-06,5.490457685694087e-06,0.0003294194139767237,0.006793370874811413,-0.007649099516208688,1.5737007167729953,1.1280964537800121e-05,-0.006826324604341148,0.00683181543271141,-1.69185162722243,-0.4229629068056075,-0.002889604514179027,0.8163057311453621
26,False,30,90,8.924007146457184e-06,5.516357285229067e-06,0.0003303483401825935,0.006810899524721934,-0.007649903446984875,1.5739134440991187,1.1186079915436083e-05,-0.006842021261464337,0.006847537992385562,-1.6893835229348555,-0.4223458807337139,-0.002892029464251647,0.815741654673448
27,False,30,90,8.933532859257158e-06,5.512768990205011e-06,0.0003296146120154402,0.006832952079486588,-0.00765485722665829,1.5736302394103892,1.1197213373355993e-05,-0.006862145246163836,0.006867658388225131,-1.6868106241718814,-0.42170265604297036,-0.0028961097831103227,0.8150278122425638
28,False,30,90,8.917296077711469e-06,5.523624345681297e-06,0.00033266461020090655,0.006836545745863019,-0.0076557180840972515,1.573620987203878,1.1203016008108461e-05,-0.0068654201911086355,0.006870944195643385,-1.6864044018169455,-0.4216011004542364,-0.002896797634042899,0.8149231811026556
29,False,30,90,8.882532050047237e-06,5.544308295893551e-06,0.0003335038633952527,0.006823146736364639,-0.007653354106806028,1.5738166610046442,1.1169969353550229e-05,-0.006853258451616547,0.006858803141347033,-1.6880483991301227,-0.4220120997825307,-0.002894497915674879,0.815382889067843
30,False,30,90,8.889421247352808e-06,5.482395193050536e-06,0.0003309446127232471,0.006823344789830211,-0.0076535362104211465,1.5738044091689611,1.1159370727059897e-05,-0.006853518505764405,0.006859001276571234,-1.6880310041757176,-0.4220077510439294,-0.0028945517031332673,0.8153761171829889
31,False,30,90,8.923831614213874e-06,5.545291388578572e-06,0.0003305025582115401,0.006823214850501918,-0.007653466544779174,1.573803970084065,1.119070140149581e-05,-0.006853311466062008,0.006858857132053722,-1.6880531965875671,-0.4220132991468918,-0.0028945289266751792,0.8153816660283552
32,False,30,90,8.873440887400186e-06,5.678326299538825e-06,0.00033570194484078183,0.006793136941658369,-0.007648895244343518,1.5737179992797092,1.116685833973648e-05,-0.006826028791962973,0.006831707503214865,-1.691873323957337,-0.42296833098933423,-0.002889595920442103,0.8163139053230514
33,False,30,90,8.954598359733238e-06,5.516053605131778e-06,0.00033028303819785813,0.006823081070533336,-0.007653470450335912,1.5738035379736803,1.1219913736703734e-05,-0.006853193091613436,0.006858709519316194,-1.6880734561045734,-0.42201836402614334,-0.0028945013706723564,0.815386677760014
34,False,30,90,8.923513800155302e-06,5.5429685264958e-06,0.00033214691708155063,0.006810189592403784,-0.007649714361789632,1.5739181484923983,1.1197683836699189e-05,-0.006841336637932218,0.006846879984138001,-1.6894696234514286,-0.42236740586285715,-0.002891898937154688,0.8157639062566864
35,False,30,90,8.651370031723264e-06,5.377131593960411e-06,0.000320975822497542,0.006810096912188792,-0.007652946619081455,1.5736456555827607,1.0849229903747357e-05,-0.00684205386630424,0.006847431350628144,-1.6898187685707708,-0.4224546921426927,-0.002892729503197835,0.8157858620827585
36,False,30,90,8.960548824566362e-06,5.575421365074996e-06,0.00033475180357963913,0.0068370291233452885,-0.007655908406050762,1.5736065540316713,1.1260745045458837e-05,-0.006865772575499588,0.006871348381862083,-1.686375935319535,-0.4215939838298837,-0.002896919138592261,0.8149119343869067
37,False,30,90,8.92318692003125e-06,5.533571834060993e-06,0.00033271933455032796,0.006810170738007514,-0.007649847444955582,1.5739094372114626,1.1201273943713813e-05,-0.006841339161600215,0.006846873112416079,-1.689489518011528,-0.422372379502882,-0.002891930088645483,0.81576655897211
38,False,30,90,8.948233149167104e-06,5.577420092008454e-06,0.0003326834503093663,0.006822374547392277,-0.007653204830577403,1.5738174119698443,1.122979318675171e-05,-0.0068524732322301895,0.006858051031840835,-1.6881538272293573,-0.4220384568073393,-0.002894361274184087,0.815409638937223
39,False,30,90,8.881374961457712e-06,5.494890807567796e-06,0.0003311257742180596,0.0067919990638133,-0.007648894957805943,1.573709303006881,1.1143195949274085e-05,-0.006825205348376799,0.006830700613657982,-1.692008026227934,-0.4230020065569835,-0.002889400065767345,0.8163465508651493
40,False,30,90,7.903273108027428e-06,1.1347512272285587e-05,0.0002796818591310155,0.006807892273320132,-0.007641127609264311,1.5736141523410314,9.817911160862978e-06,-0.00683442363950027,0.0068457714195173216,-1.6891901982303865,-0.42229754955759663,-0.002890952495293595,0.8156311671780717
